"OBJECTID *","Shape *","LINK_ID","ST_NAME","FUNC_CLASS","TO_SPD_LIM","FR_SPD_LIM","FROM_LANES","TO_LANES","LANE_CAT","DIR_TRAVEL","PHYS_LANES","AR_AUTO","AR_BUS","AR_PEDEST","AR_TRUCKS","AR_TRAFF","AR_EMERVEH","AR_MOTOR","ROUNDABOUT","Shape_Length","NOM_ETUDE","DATE_ETUDE","TYPE_VEH","LEN_KM_GEO","Note_NbVoie","NB_PASSAGE_TP","Note_ArretTP","TYPE_CARR","Note_Carrefour","NB_OBSTACLE","Note_Obstacle","Note_Vitesse","CONG_RSI_T","CONG_RSI_F","Note_Congestion","IMPACT_CHANTIER","DEBUT_CHANTIER","FIN_CHANTIER","DUREE_CHANTIER","Note_Chantier","LIM_HAUT","LIM_POIDS","LIM_ChESSIEU","LIM_LONG","LIM_LARG","Note_Gabarit","ACCES_PJOUR","Note_Horaire","Sum places_int","Note_Stationnement","PENTE_MAX","Note_Pente","CIR_MOY","CIR_MOY_pond","CIR_MOY_norm","RATIO_HIE","ACC_MOY","ACC_MOY_pond","ACC_MOY_norm","POI_COUNT"
"34229","Polyline","1288972985","BOULEVARD LAZARE CARNOT","5","50","0","0","0","1","T","1","Y","Y","Y","Y","Y","Y","Y","N","0.000912","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.098441","1","6","2","Prioritaire","3","0","3","3","0.896","0","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","2.227408","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","11"
"34285","Polyline","1289460072","BOULEVARD LAZARE CARNOT","5","50","0","0","0","1","T","0","Y","Y","Y","Y","Y","Y","Y","N","0.00043","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.037644","1","0","3","Prioritaire","3","0","3","3","0.64","0","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","2.279795","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","1"
"34286","Polyline","1289460073","BOULEVARD LAZARE CARNOT","5","50","0","0","0","1","T","0","Y","Y","Y","Y","Y","Y","Y","N","0.000178","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.018883","1","0","3","Prioritaire","3","0","3","3","0.954","0","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","2.337421","3","2.714286","2.714286","0.857143","300","2.5","2.5","0.75","1"
"5682","Polyline","57999683","BOULEVARD LAZARE CARNOT","3","50","50","2","2","2","B","4","Y","Y","Y","Y","Y","Y","Y","N","0.000453","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.043545","3","0","3","Prioritaire","3","0","3","3","0.796","0.938","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","3.174074","2","2.857143","2.857143","0.928571","1000","2.25","2.25","0.625","1"
"5688","Polyline","57999700","BOULEVARD LAZARE CARNOT","3","50","50","2","2","2","B","4","Y","Y","Y","Y","Y","Y","Y","N","0.000453","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.043949","3","5","3","Prioritaire","3","0","3","3","0.872","0.94","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","3.29288","2","3","3","1","1000","2.25","2.25","0.625","21"
"14144","Polyline","842557712","BOULEVARD LAZARE CARNOT","5","20","0","0","0","1","T","1","Y","Y","Y","Y","Y","Y","Y","N","0.000341","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.027566","1","0","3","Prioritaire","3","0","3","1","0.948","0","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","4.142288","2","2.428571","2.428571","0.714286","300","2.25","2.25","0.625","1"
"3655","Polyline","57986537","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","0","Y","Y","Y","Y","Y","Y","Y","N","5.4E-5","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.005785","2","0","3","Prioritaire","3","0","3","3","0.6128","0.894","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.57771","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","8"
"3857","Polyline","57986831","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","4","Y","Y","Y","Y","Y","Y","Y","N","0.000238","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.025501","3","0","3","Feux","2","0","3","3","0.648","0.89","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.397937","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","1"
"3934","Polyline","57986944","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","4","Y","Y","Y","Y","Y","Y","Y","N","0.000798","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.085713","3","4","3","Prioritaire","3","0","3","3","0.6576","0.842","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.802869","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","8"
"3949","Polyline","57986963","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","5","Y","Y","Y","Y","Y","Y","Y","N","0.00018","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.019499","3","0","3","Prioritaire","3","1","2","3","0.822","0.942","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.598655","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"9941","Polyline","708874621","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","4","Y","Y","Y","Y","Y","Y","Y","N","0.000351","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.037924","3","0","3","Prioritaire","3","1","2","3","0.842","0.93","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.759473","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"11096","Polyline","792665334","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","3","Y","Y","Y","Y","Y","Y","Y","N","0.00052","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.055745","3","0","3","Prioritaire","3","0","3","3","0.99","0.916","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.258449","3","3","3","1","1000","2.5","2.5","0.75","11"
"11097","Polyline","792665335","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","3","Y","Y","Y","Y","Y","Y","Y","N","0.000456","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.048331","3","0","3","Prioritaire","3","0","3","3","0.968","0.994","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.321291","3","3","3","1","1000","2.5","2.5","0.75","11"
"11098","Polyline","792665337","GRANDE RUE SAINT-MICHEL","3","30","30","1","1","1","B","0","Y","Y","Y","Y","Y","Y","Y","N","0.000192","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.020238","2","0","3","Feux","2","0","3","3","0.948","0.83","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.870941","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","18"
"11101","Polyline","792665340","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","3","Y","Y","Y","Y","Y","Y","Y","N","0.00145","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.155978","3","0","3","Prioritaire","3","0","3","3","0.3408","0.862","1","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","21"
"28538","Polyline","1202380608","GRANDE RUE SAINT-MICHEL","3","30","30","1","1","1","B","0","Y","Y","Y","Y","Y","Y","Y","N","0.000157","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.01655","2","0","3","Prioritaire","3","0","3","3","0.6304","0.6544","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.326378","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","8"
"28548","Polyline","1202380894","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","3","Y","Y","Y","Y","Y","Y","Y","N","0.000579","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.062348","3","0","3","Prioritaire","3","0","3","3","0.884","0.894","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.150223","3","3","3","1","1000","2.5","2.5","0.75","18"
