service_id,date,exception_type
27_1093908,20230831,1
27_1093908,20230901,1
27_1093909,20230807,1
27_1093909,20230808,1
27_1093909,20230809,1
27_1093909,20230810,1
27_1093909,20230811,1
27_1093909,20230814,1
27_1093909,20230816,1
27_1093909,20230817,1
27_1093909,20230818,1
27_1093909,20230821,1
27_1093909,20230822,1
27_1093909,20230823,1
27_1093909,20230824,1
27_1093909,20230825,1
27_1093909,20230828,1
27_1093909,20230829,1
27_1093909,20230830,1
27_1093909,20230831,1
27_1093909,20230901,1
27_1093910,20230807,1
27_1093910,20230808,1
27_1093910,20230809,1
27_1093910,20230810,1
27_1093910,20230811,1
27_1093910,20230814,1
27_1093910,20230816,1
27_1093910,20230817,1
27_1093910,20230818,1
27_1093910,20230821,1
27_1093910,20230822,1
27_1093910,20230823,1
27_1093910,20230824,1
27_1093910,20230825,1
27_1093910,20230828,1
27_1093910,20230829,1
27_1093910,20230830,1
27_1093910,20230831,1
27_1093910,20230901,1
27_1093911,20230807,1
27_1093911,20230808,1
27_1093911,20230809,1
27_1093911,20230810,1
27_1093911,20230811,1
27_1093911,20230814,1
27_1093911,20230816,1
27_1093911,20230817,1
27_1093911,20230818,1
27_1093911,20230821,1
27_1093911,20230822,1
27_1093911,20230823,1
27_1093911,20230824,1
27_1093911,20230825,1
27_1093911,20230828,1
27_1093911,20230829,1
27_1093911,20230830,1
27_1093911,20230831,1
27_1093911,20230901,1
27_1093912,20230807,1
27_1093912,20230808,1
27_1093912,20230809,1
27_1093912,20230810,1
27_1093912,20230811,1
27_1093912,20230814,1
27_1093912,20230816,1
27_1093912,20230817,1
27_1093912,20230818,1
27_1093912,20230821,1
27_1093912,20230822,1
27_1093912,20230823,1
27_1093912,20230824,1
27_1093912,20230825,1
27_1093912,20230828,1
27_1093912,20230829,1
27_1093912,20230830,1
27_1093912,20230831,1
27_1093912,20230901,1
27_1093913,20230807,1
27_1093913,20230808,1
27_1093913,20230809,1
27_1093913,20230810,1
27_1093913,20230811,1
27_1093913,20230814,1
27_1093913,20230816,1
27_1093913,20230817,1
27_1093913,20230818,1
27_1093913,20230821,1
27_1093913,20230822,1
27_1093913,20230823,1
27_1093913,20230824,1
27_1093913,20230825,1
27_1093913,20230828,1
27_1093913,20230829,1
27_1093913,20230830,1
27_1093913,20230831,1
27_1093913,20230901,1
27_1093914,20230807,1
27_1093914,20230808,1
27_1093914,20230809,1
27_1093914,20230810,1
27_1093914,20230811,1
27_1093914,20230814,1
27_1093914,20230816,1
27_1093914,20230817,1
27_1093914,20230818,1
27_1093914,20230821,1
27_1093914,20230822,1
27_1093914,20230823,1
27_1093914,20230824,1
27_1093914,20230825,1
27_1093914,20230828,1
27_1093914,20230829,1
27_1093914,20230830,1
27_1093914,20230831,1
27_1093914,20230901,1
27_1093915,20230807,1
27_1093915,20230808,1
27_1093915,20230809,1
27_1093915,20230810,1
27_1093915,20230811,1
27_1093915,20230814,1
27_1093915,20230816,1
27_1093915,20230817,1
27_1093915,20230818,1
27_1093915,20230821,1
27_1093915,20230822,1
27_1093915,20230823,1
27_1093915,20230824,1
